Player ID,Player name,Opponent Team,Mat,Inns,NNO,Runs,HS,Not Out,Avg,BF,SR,100s,50s,0s,4s,6s
10276,Ishan  Kishan,Sri Lanka,6,6.0,1.0,165.0,89.0,0,33.0,121.0,136.36,0.0,1.0,0.0,16.0,6.0
10276,Ishan  Kishan,West Indies,6,6.0,0.0,115.0,35.0,0,19.16,128.0,89.84,0.0,0.0,0.0,13.0,2.0
9311,Jasprit Bumrah,Australia,14,1.0,0.0,7.0,7.0,0,7.0,9.0,77.77,0.0,0.0,0.0,1.0,0.0
9311,Jasprit Bumrah,England,5,3.0,3.0,0.0,0.0,1,,0.0,,0.0,0.0,0.0,0.0,0.0
9311,Jasprit Bumrah,New Zealand,10,2.0,2.0,1.0,1.0,1,,4.0,25.0,0.0,0.0,0.0,0.0,0.0
9311,Jasprit Bumrah,Pakistan,4,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9311,Jasprit Bumrah,Sri Lanka,12,1.0,0.0,0.0,0.0,0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0
10214,Jitesh Sharma,Afghanistan,3,2.0,0.0,31.0,31.0,0,15.5,22.0,140.9,0.0,0.0,1.0,5.0,0.0
10214,Jitesh Sharma,Australia,2,2.0,0.0,59.0,35.0,0,29.5,35.0,168.57,0.0,0.0,0.0,4.0,4.0
10214,Jitesh Sharma,Nepal,1,1.0,0.0,5.0,5.0,0,5.0,4.0,125.0,0.0,0.0,0.0,1.0,0.0
10214,Jitesh Sharma,South Africa,2,2.0,0.0,5.0,4.0,0,2.5,7.0,71.42,0.0,0.0,0.0,1.0,0.0
10952,Khaleel Ahmed,New Zealand,3,1.0,1.0,1.0,1.0,1,1.0,100.0,0.0,0.0,0.0,0.0,0.0,
10952,Khaleel Ahmed,Zimbabwe,3,1.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8733,KL Rahul,Afghanistan,2,2.0,0.0,131.0,69.0,0,65.5,89.0,147.19,0.0,2.0,0.0,12.0,4.0
8733,KL Rahul,Australia,11,10.0,0.0,271.0,55.0,0,27.1,203.0,133.49,0.0,3.0,1.0,21.0,12.0
8733,KL Rahul,Bangladesh,6,5.0,1.0,149.0,52.0,0,37.25,109.0,136.69,0.0,2.0,0.0,14.0,5.0
8733,KL Rahul,England,11,11.0,1.0,247.0,101.0,1,24.7,182.0,135.71,1.0,1.0,2.0,23.0,10.0
