Bowler ID,Player Name,Opponent,Innings,Total Balls Bowled,Total Wickets,Total Runs Conceded,Economy,Total Dot Balls,Dot Ball %,Powerplay Balls,Powerplay Wickets,Powerplay Runs,Middle Overs Balls,Middle Overs Wickets,Middle Overs Runs,Death Overs Balls,Death Overs Wickets,Death Overs Runs
8808,Axar Patel,West Indies,6,108,8,157,8.722222222222221,57,52.77777777777778,72,5,123,48,6,65,12,0,18
8292,Kuldeep Yadav,West Indies,5,120,9,108,5.4,64,53.333333333333336,6,0,3,132,12,105,6,0,12
13217,Arshdeep Singh,New Zealand,5,92,11,147,9.58695652173913,55,59.78260869565217,46,3,83,12,0,14,48,8,79
10808,Mohammed Siraj,New Zealand,2,48,6,42,5.25,29,60.416666666666664,30,1,22,6,0,7,36,7,38
10945,Washington Sundar,New Zealand,3,50,4,63,7.5600000000000005,26,52.0,20,3,21,36,2,60,6,0,6
7910,Yuzvendra Chahal,New Zealand,3,54,3,65,7.222222222222222,21,38.88888888888889,12,1,4,66,4,87,0,0,0
9781,Avesh Khan,Pakistan,1,12,1,19,9.5,4,33.33333333333333,12,2,26,12,0,12,0,0,0
7910,Yuzvendra Chahal,Pakistan,2,48,1,75,9.375,10,20.833333333333336,0,0,0,60,1,91,12,0,16
587,Ravindra Jadeja,Pakistan,2,24,0,22,5.5,9,37.5,0,0,0,36,0,34,0,0,0
13217,Arshdeep Singh,Hong Kong,1,24,2,44,11.0,8,33.33333333333333,24,4,50,12,0,14,12,0,24
587,Ravindra Jadeja,Hong Kong,1,24,1,15,3.75,14,58.333333333333336,12,0,6,36,2,24,0,0,0
9781,Avesh Khan,Hong Kong,1,24,1,54,13.5,7,29.166666666666668,12,0,24,24,2,42,12,0,42
7910,Yuzvendra Chahal,Hong Kong,1,24,0,18,4.5,11,45.83333333333333,0,0,0,36,0,30,12,0,6
1413,Virat Kohli,Hong Kong,1,6,0,6,6.0,1,16.666666666666664,0,0,0,0,0,0,12,0,12
14659,Ravi Bishnoi,Pakistan,1,24,1,27,6.75,11,45.83333333333333,12,2,6,24,0,32,12,0,16
13217,Arshdeep Singh,Sri Lanka,5,87,7,147,10.137931034482758,40,45.97701149425287,60,2,116,6,1,14,44,4,59
