Player ID,Player name,Vs_Team,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
9311,Jasprit Bumrah,Bangladesh,4,4,15,0,81,4,2|13,20.25,5.4,22.5,0,0
9311,Jasprit Bumrah,England,5,5,15.2,1,82,9,3|14,9.11,5.34,10.2,0,0
9311,Jasprit Bumrah,Ireland,4,4,15,3,64,8,2|6,8,4.26,11.2,0,0
9311,Jasprit Bumrah,Namibia,1,1,4,0,19,2,2|19,9.5,4.75,12,0,0
9311,Jasprit Bumrah,New Zealand,10,10,38,1,232,12,3|12,19.33,6.1,19,0,0
9311,Jasprit Bumrah,Pakistan,4,4,14,2,76,5,3|14,15.2,5.42,16.8,0,0
9311,Jasprit Bumrah,Scotland,1,1,3.4,1,10,2,2|10,5,2.72,11,0,0
9311,Jasprit Bumrah,South Africa,3,3,12,0,89,3,2|18,29.66,7.41,24,0,0
9311,Jasprit Bumrah,Sri Lanka,12,11,36,2,222,9,2|17,24.66,6.16,24,0,0
9311,Jasprit Bumrah,U.A.E.,1,1,4,0,23,1,1|23,23,5.75,24,0,0
9311,Jasprit Bumrah,U.S.A.,1,1,4,0,25,0,,,6.25,,0,0
9311,Jasprit Bumrah,West Indies,5,5,20,0,162,8,2|20,20.25,8.1,15,0,0
9311,Jasprit Bumrah,Zimbabwe,3,3,12,1,58,5,3|11,11.6,4.83,14.4,0,0
10952,Khaleel Ahmed,Australia,3,3,11,0,116,3,2|39,38.66,10.54,22,0,0
10952,Khaleel Ahmed,Bangladesh,3,3,12,0,108,2,1|37,54,9,36,0,0
10952,Khaleel Ahmed,New Zealand,3,3,12,0,122,4,2|27,30.5,10.16,18,0,0
10952,Khaleel Ahmed,Sri Lanka,1,1,3,0,28,0,,,9.33,,0,0
10952,Khaleel Ahmed,West Indies,5,5,17,1,113,4,2|30,28.25,6.64,25.5,0,0
10952,Khaleel Ahmed,Zimbabwe,3,3,11,0,75,3,2|32,25,6.81,22,0,0
8292,Kuldeep Yadav,Afghanistan,2,2,7,0,63,3,2|33,21,9,14,0,0
8292,Kuldeep Yadav,Australia,6,6,24,0,152,8,2|16,19,6.33,18,0,0
8292,Kuldeep Yadav,Bangladesh,1,1,4,0,19,3,3|19,6.33,4.75,8,0,0
8292,Kuldeep Yadav,England,3,3,12,0,77,8,5|24,9.62,6.41,9,0,1
8292,Kuldeep Yadav,Ireland,2,2,6.3,1,37,7,4|21,5.28,5.69,5.5,1,0
8292,Kuldeep Yadav,New Zealand,5,5,14,0,85,5,2|26,17,6.07,16.8,0,0
8292,Kuldeep Yadav,South Africa,3,3,9.5,0,88,6,5|17,14.66,8.94,9.8,0,1
8292,Kuldeep Yadav,Sri Lanka,9,8,30,0,222,12,3|52,18.5,7.4,15,0,0
8292,Kuldeep Yadav,West Indies,9,9,36,1,228,17,3|12,13.41,6.33,12.7,0,0
10808,Mohammed Siraj,Bangladesh,1,1,4,0,50,1,1|50,50,12.5,24,0,0
10808,Mohammed Siraj,Ireland,1,1,3,0,13,1,1|13,13,4.33,18,0,0
10808,Mohammed Siraj,New Zealand,4,4,16,1,133,8,4|17,16.62,8.31,12,1,0
10808,Mohammed Siraj,Pakistan,1,1,4,0,19,0,,,4.75,,0,0
10808,Mohammed Siraj,South Africa,3,3,10,1,84,1,1|27,84,8.4,60,0,0
10808,Mohammed Siraj,Sri Lanka,5,5,17,0,128,3,1|22,42.66,7.52,34,0,0
10808,Mohammed Siraj,U.S.A.,1,1,4,0,25,0,,,6.25,,0,0
10754,Mukesh Kumar,Afghanistan,3,3,10,0,98,2,2|33,49,9.8,30,0,0
10754,Mukesh Kumar,Australia,4,4,16,0,146,4,3|32,36.5,9.12,24,0,0
10754,Mukesh Kumar,South Africa,2,2,5,0,55,3,2|34,18.33,11,10,0,0
10754,Mukesh Kumar,West Indies,5,5,12.5,0,113,3,1|19,37.66,8.8,25.6,0,0
10754,Mukesh Kumar,Zimbabwe,3,3,10.1,0,75,8,4|22,9.37,7.37,7.6,1,0
14659,Ravi  Bishnoi,Afghanistan,4,4,15,0,124,3,2|39,41.33,8.26,30,0,0
14659,Ravi  Bishnoi,Australia,5,5,20,0,164,9,3|32,18.22,8.2,13.3,0,0
14659,Ravi  Bishnoi,Bangladesh,1,1,4,0,26,1,1|26,26,6.5,24,0,0
14659,Ravi  Bishnoi,England,1,1,4,0,30,2,2|30,15,7.5,12,0,0
14659,Ravi  Bishnoi,Ireland,3,3,12,0,101,5,2|23,20.2,8.41,14.4,0,0
14659,Ravi  Bishnoi,Nepal,1,1,4,0,24,3,3|24,8,6,8,0,0
14659,Ravi  Bishnoi,Pakistan,1,1,4,0,26,1,1|26,26,6.5,24,0,0
14659,Ravi  Bishnoi,Sri Lanka,4,4,16,0,133,7,3|26,19,8.31,13.7,0,0
14659,Ravi  Bishnoi,West Indies,7,7,26.4,0,176,11,4|16,16,6.6,14.5,1,0
14659,Ravi  Bishnoi,Zimbabwe,5,5,19,2,106,6,4|13,17.66,5.57,19,1,0
587,Ravindra Jadeja,Afghanistan,3,3,10,1,54,3,1|15,18,5.4,20,0,0
587,Ravindra Jadeja,Australia,11,10,31,0,256,8,2|21,32,8.25,23.2,0,0
587,Ravindra Jadeja,Bangladesh,5,5,18,0,126,3,2|22,42,7,36,0,0
587,Ravindra Jadeja,England,7,7,24,1,175,4,2|26,43.75,7.29,36,0,0
587,Ravindra Jadeja,Hong Kong,1,1,4,0,15,1,1|15,15,3.75,24,0,0
587,Ravindra Jadeja,Ireland,1,1,1,0,7,0,,,7,,0,0
587,Ravindra Jadeja,Namibia,1,1,4,0,16,3,2|16,5.33,4,8,0,0
587,Ravindra Jadeja,New Zealand,6,6,20,0,129,5,2|18,25.8,6.45,24,0,0
587,Ravindra Jadeja,Pakistan,7,7,21.4,0,127,4,2|11,31.75,5.86,32.5,0,0
587,Ravindra Jadeja,Scotland,1,1,4,0,15,3,3|15,5,3.75,8,0,0
587,Ravindra Jadeja,South Africa,8,8,21.5,0,158,4,2|25,39.5,7.23,32.7,0,0
587,Ravindra Jadeja,Sri Lanka,10,9,30,1,207,5,2|24,41.4,6.9,36,0,0
587,Ravindra Jadeja,U.S.A.,1,,,,,,,,,,,
587,Ravindra Jadeja,West Indies,12,12,36.3,1,327,11,Mar-48,29.72,8.95,19.9,0,0
10896,Rinku Singh,Afghanistan,4,,,,,,,,,,,
10896,Rinku Singh,Australia,5,,,,,,,,,,,
10896,Rinku Singh,Bangladesh,1,,,,,,,,,,,
10896,Rinku Singh,Ireland,2,,,,,,,,,,,
10896,Rinku Singh,Nepal,1,,,,,,,,,,,
10896,Rinku Singh,South Africa,2,,,,,,,,,,,
10896,Rinku Singh,Sri Lanka,3,1,1,0,3,2,2|3,1.5,3,3,0,0
