MatchID,BatsmanName,BowlerName,FielderName,ModeOfDismissal
1571,T Bavuma,Axar Patel,Avesh Khan,caught
1571,RR Hendricks,HV Patel,Yuzvendra Chahal,caught
1571,HE van der Dussen,Yuzvendra Chahal,Rishabh Pant,caught
1571,D Pretorius,Yuzvendra Chahal,Rishabh Pant,caught
1571,DA Miller,HV Patel,Ruturaj Gaikwad,caught
1571,H Klaasen,Yuzvendra Chahal,Axar Patel,caught
1571,K Rabada,HV Patel,Yuzvendra Chahal,caught
1571,T Shamsi,HV Patel,Avesh Khan,caught
1572,Ruturaj Gaikwad,L Ngidi,Q de Kock,caught
1572,Shreyas Iyer,M Jansen,,lbw
1572,Ishan Kishan,A Nortje,Q de Kock,caught
1572,Rishabh Pant,KA Maharaj,D Pretorius,caught
1572,Hardik Pandya,L Ngidi,T Shamsi,caught
1572,T Bavuma,Avesh Khan,,retired hurt
1572,D Pretorius,Avesh Khan,Rishabh Pant,caught
1572,H Klaasen,Yuzvendra Chahal,,lbw
1572,HE van der Dussen,Avesh Khan,Ruturaj Gaikwad,caught
1572,M Jansen,Avesh Khan,Ruturaj Gaikwad,caught
1572,KA Maharaj,Avesh Khan,Shreyas Iyer,caught
1572,A Nortje,Yuzvendra Chahal,Ishan Kishan,caught
1572,L Ngidi,Axar Patel,Ruturaj Gaikwad,caught
1575,Ishan Kishan,L Ngidi,,bowled
1575,Ruturaj Gaikwad,L Ngidi,D Pretorius,caught
1842,Babar Azam,Arshdeep Singh,,lbw
1842,Mohammad Rizwan,Arshdeep Singh,B Kumar,caught
1842,Iftikhar Ahmed,Mohammed Shami,,lbw
1842,Shadab Khan,Hardik Pandya,Suryakumar Yadav,caught
1842,Haider Ali,Hardik Pandya,Suryakumar Yadav,caught
1842,Mohammad Nawaz,Hardik Pandya,KD Karthik,caught
1842,Asif Ali,Arshdeep Singh,KD Karthik,caught
1842,KL Rahul,Naseem Shah,,bowled
1842,Rohit Sharma,Haris Rauf,Iftikhar Ahmed,caught
1842,Suryakumar Yadav,Haris Rauf,Mohammad Rizwan,caught
1842,Axar Patel,Shadab Khan,"Mohammad Rizwan, Babar Azam",run out
1842,Hardik Pandya,Mohammad Nawaz,Babar Azam,caught
1848,KL Rahul,PA van Meekeren,,lbw
1848,Rohit Sharma,FJ Klaassen,CN Ackermann,caught
1848,MP O'Dowd,Axar Patel,,bowled
1848,BFW de Leede,Axar Patel,Hardik Pandya,caught
1848,CN Ackermann,R Ashwin,Axar Patel,caught
1848,TJG Pringle,Mohammed Shami,Virat Kohli,caught
1848,LV van Beek,Arshdeep Singh,KD Karthik,caught
1848,FJ Klaassen,Arshdeep Singh,,lbw
1853,Rohit Sharma,L Ngidi,,caught and bowled
1853,KL Rahul,L Ngidi,AK Markram,caught
1853,Virat Kohli,L Ngidi,K Rabada,caught
1853,Hardik Pandya,L Ngidi,K Rabada,caught
1853,Suryakumar Yadav,WD Parnell,KA Maharaj,caught
1853,Mohammed Shami,A Nortje,A Nortje,run out
1853,Q de Kock,Arshdeep Singh,KL Rahul,caught
1853,RR Rossouw,Arshdeep Singh,,lbw
1853,T Bavuma,Mohammed Shami,KD Karthik,caught
1853,AK Markram,Hardik Pandya,Suryakumar Yadav,caught
1860,Rohit Sharma,Hasan Mahmud,Yasir Ali Chowdhury,caught
1860,KL Rahul,Shakib Al Hasan,Mustafizur Rahman,caught
1860,Suryakumar Yadav,Shakib Al Hasan,,bowled
1860,Hardik Pandya,Hasan Mahmud,Yasir Ali Chowdhury,caught
1860,Axar Patel,Hasan Mahmud,Shakib Al Hasan,caught
1860,Liton Das,R Ashwin,KL Rahul,run out
1860,Nazmul Hossain Shanto,Mohammed Shami,Suryakumar Yadav,caught
1860,Afif Hossain,Arshdeep Singh,Suryakumar Yadav,caught
1860,Shakib Al Hasan,Arshdeep Singh,DJ Hooda,caught
1860,Yasir Ali Chowdhury,Hardik Pandya,Arshdeep Singh,caught
1860,Mosaddek Hossain,Hardik Pandya,,bowled
1873,Rohit Sharma,B Muzarabani,WP Masakadza,caught
1873,Virat Kohli,SC Williams,RP Burl,caught
1873,KL Rahul,Sikandar Raza,WP Masakadza,caught
1873,Rishabh Pant,SC Williams,RP Burl,caught
1873,Hardik Pandya,R Ngarava,B Muzarabani,caught
1873,W Madhevere,B Kumar,Virat Kohli,caught
1873,RW Chakabva,Arshdeep Singh,,bowled
1873,SC Williams,Mohammed Shami,B Kumar,caught
1873,CR Ervine,Hardik Pandya,,caught and bowled
1873,T Munyonga,Mohammed Shami,,lbw
1873,WP Masakadza,R Ashwin,Rohit Sharma,caught
1873,Sikandar Raza,Hardik Pandya,Suryakumar Yadav,caught
1873,TL Chatara,Axar Patel,,caught and bowled
1878,KL Rahul,CR Woakes,JC Buttler,caught
1878,Rohit Sharma,CJ Jordan,SM Curran,caught
1878,Suryakumar Yadav,AU Rashid,PD Salt,caught
1878,Virat Kohli,CJ Jordan,AU Rashid,caught
1878,Rishabh Pant,CJ Jordan,"JC Buttler, CJ Jordan",run out
1878,Hardik Pandya,CJ Jordan,,hit wicket
1580,PR Stirling,Hardik Pandya,DJ Hooda,caught
1580,GJ Delany,Avesh Khan,KD Karthik,caught
1580,L Tucker,Yuzvendra Chahal,Axar Patel,caught
1580,Ishan Kishan,CA Young,,bowled
1580,Suryakumar Yadav,CA Young,,lbw
1580,Hardik Pandya,J Little,,lbw
1586,Ishan Kishan,MR Adair,L Tucker,caught
1586,Sanju Samson,MR Adair,,bowled
1586,Suryakumar Yadav,J Little,L Tucker,caught
1586,Axar Patel,CA Young,GH Dockrell,caught
1586,PR Stirling,Ravi Bishnoi,,bowled
1586,GJ Delany,Umran Malik,Hardik Pandya,run out
1586,A Balbirnie,HV Patel,Ravi Bishnoi,caught
1586,L Tucker,Umran Malik,Yuzvendra Chahal,caught
1702,Suryakumar Yadav,AJ Hosein,JO Holder,caught
1702,Shreyas Iyer,OC McCoy,AJ Hosein,caught
1702,Rishabh Pant,KMA Paul,AJ Hosein,caught
1702,Hardik Pandya,AS Joseph,OC McCoy,caught
1702,Rohit Sharma,JO Holder,SO Hetmyer,caught
1702,Ravindra Jadeja,AS Joseph,KMA Paul,caught
1702,KR Mayers,Arshdeep Singh,B Kumar,caught
1702,JO Holder,Ravindra Jadeja,,bowled
1702,N Pooran,R Ashwin,Rishabh Pant,caught
1702,R Powell,Ravi Bishnoi,,bowled
1702,SO Hetmyer,R Ashwin,Suryakumar Yadav,caught
1702,OF Smith,Ravi Bishnoi,Rishabh Pant,stumped
1702,AJ Hosein,Arshdeep Singh,,bowled
1718,Rohit Sharma,OC McCoy,AJ Hosein,caught
1718,Suryakumar Yadav,OC McCoy,DC Thomas,caught
1718,Shreyas Iyer,AS Joseph,DC Thomas,caught
1718,Rishabh Pant,AJ Hosein,OF Smith,caught
1718,Hardik Pandya,JO Holder,OF Smith,caught
1718,Ravindra Jadeja,OC McCoy,R Powell,caught
1718,Avesh Khan,JO Holder,,bowled
1718,KR Mayers,Hardik Pandya,R Ashwin,caught
1718,N Pooran,R Ashwin,Suryakumar Yadav,caught
1718,SO Hetmyer,Ravindra Jadeja,,caught and bowled
1718,BA King,Avesh Khan,,bowled
1718,R Powell,Arshdeep Singh,,bowled
1720,BA King,Hardik Pandya,,bowled
1720,N Pooran,B Kumar,Rishabh Pant,caught
1720,KR Mayers,B Kumar,Rishabh Pant,caught
1720,R Powell,Arshdeep Singh,DJ Hooda,caught
1720,SO Hetmyer,Arshdeep Singh,"SA Yadav, RR Pant",run out
1720,Rohit Sharma,AS Joseph,,retired hurt
1720,Shreyas Iyer,AJ Hosein,DC Thomas,stumped
1720,Suryakumar Yadav,DC Drakes,AS Joseph,caught
1720,Hardik Pandya,JO Holder,DC Thomas,caught
1725,Rohit Sharma,AJ Hosein,,bowled
1725,Suryakumar Yadav,AS Joseph,,lbw
1725,Rishabh Pant,OC McCoy,DC Drakes,caught
1725,BA King,Avesh Khan,,caught and bowled
1725,DC Thomas,Avesh Khan,DJ Hooda,caught
1725,N Pooran,Axar Patel,"RR Pant, SV Samson",run out
1725,KR Mayers,Axar Patel,DJ Hooda,caught
1725,R Powell,Axar Patel,DJ Hooda,caught
1725,JO Holder,Arshdeep Singh,Sanju Samson,caught
1725,AJ Hosein,Ravi Bishnoi,Suryakumar Yadav,caught
1725,SO Hetmyer,Ravi Bishnoi,,bowled
1725,DC Drakes,Arshdeep Singh,,bowled
1725,OC McCoy,Arshdeep Singh,,bowled
1726,Ishan Kishan,DC Drakes,N Pooran,caught
1726,Shreyas Iyer,JO Holder,,caught and bowled
1726,Sanju Samson,OF Smith,,bowled
1726,Hardik Pandya,OF Smith,OF Smith,run out
1726,Axar Patel,OF Smith,N Pooran,caught
1726,JO Holder,Axar Patel,,bowled
1726,SSJ Brooks,Axar Patel,KD Karthik,stumped
1726,DC Thomas,Axar Patel,,bowled
1726,R Powell,Ravi Bishnoi,,lbw
1726,KMA Paul,Ravi Bishnoi,,lbw
1726,OF Smith,Kuldeep Yadav,Hardik Pandya,caught
1726,SO Hetmyer,Ravi Bishnoi,Shreyas Iyer,caught
1726,OC McCoy,Ravi Bishnoi,DJ Hooda,caught
1898,Rishabh Pant,LH Ferguson,TG Southee,caught
1898,Ishan Kishan,IS Sodhi,TG Southee,caught
1898,Shreyas Iyer,LH Ferguson,,hit wicket
1898,Hardik Pandya,TG Southee,JDS Neesham,caught
1898,Washington Sundar,TG Southee,JDS Neesham,caught
1898,FH Allen,B Kumar,Arshdeep Singh,caught
1898,DP Conway,Washington Sundar,Arshdeep Singh,caught
1898,GD Phillips,Yuzvendra Chahal,,bowled
1898,DJ Mitchell,DJ Hooda,Shreyas Iyer,caught
1898,JDS Neesham,Yuzvendra Chahal,Ishan Kishan,caught
1898,MJ Santner,Mohammed Siraj,,caught and bowled
1898,KS Williamson,Mohammed Siraj,,bowled
1898,IS Sodhi,DJ Hooda,Rishabh Pant,stumped
1898,TG Southee,DJ Hooda,Rishabh Pant,caught
1898,AF Milne,DJ Hooda,Arshdeep Singh,caught
1911,FH Allen,Arshdeep Singh,,lbw
1911,MS Chapman,Mohammed Siraj,Arshdeep Singh,caught
1911,GD Phillips,Mohammed Siraj,B Kumar,caught
1911,DP Conway,Arshdeep Singh,Ishan Kishan,caught
1911,JDS Neesham,Mohammed Siraj,Rishabh Pant,caught
1911,MJ Santner,Mohammed Siraj,Yuzvendra Chahal,caught
1911,DJ Mitchell,Arshdeep Singh,Rishabh Pant,caught
1911,IS Sodhi,Arshdeep Singh,,bowled
1911,AF Milne,Arshdeep Singh,Mohammed Siraj,run out
1911,Ishan Kishan,AF Milne,MS Chapman,caught
1911,Rishabh Pant,TG Southee,IS Sodhi,caught
1911,Shreyas Iyer,TG Southee,JDS Neesham,caught
1911,Suryakumar Yadav,IS Sodhi,GD Phillips,caught
1750,Babar Azam,B Kumar,Arshdeep Singh,caught
1750,Fakhar Zaman,Avesh Khan,KD Karthik,caught
1750,Iftikhar Ahmed,Hardik Pandya,KD Karthik,caught
1750,Mohammad Rizwan,Hardik Pandya,Avesh Khan,caught
1750,Khushdil Shah,Hardik Pandya,Ravindra Jadeja,caught
1750,Asif Ali,B Kumar,Suryakumar Yadav,caught
1750,Mohammad Nawaz,Arshdeep Singh,KD Karthik,caught
1750,Shahnawaz Dhani,Arshdeep Singh,,bowled
1750,KL Rahul,Naseem Shah,,bowled
1750,Rohit Sharma,Mohammad Nawaz,Iftikhar Ahmed,caught
1750,Virat Kohli,Mohammad Nawaz,Iftikhar Ahmed,caught
1750,Suryakumar Yadav,Naseem Shah,,bowled
1750,Ravindra Jadeja,Mohammad Nawaz,,bowled
1754,Rohit Sharma,A Shukla,Aizaz Khan,caught
1754,KL Rahul,Mohammad Ghazanfar,SS McKechnie,caught
1754,Yasim Murtaza,Arshdeep Singh,Avesh Khan,caught
1754,Nizakat Khan,Arshdeep Singh,Ravindra Jadeja,run out
1754,Babar Hayat,Ravindra Jadeja,Avesh Khan,caught
1754,Aizaz Khan,Avesh Khan,,bowled
1754,KD Shah,B Kumar,Ravi Bishnoi,caught
1758,Rohit Sharma,Haris Rauf,Khushdil Shah,caught
1758,KL Rahul,Shadab Khan,Mohammad Nawaz,caught
1758,Suryakumar Yadav,Mohammad Nawaz,Asif Ali,caught
1758,Rishabh Pant,Shadab Khan,Asif Ali,caught
1758,Hardik Pandya,Mohammad Hasnain,Mohammad Nawaz,caught
1758,Virat Kohli,Haris Rauf,Asif Ali,run out
1758,Babar Azam,Ravi Bishnoi,Rohit Sharma,caught
1758,Fakhar Zaman,Yuzvendra Chahal,Virat Kohli,caught
1758,Mohammad Rizwan,Hardik Pandya,Suryakumar Yadav,caught
1758,Asif Ali,Arshdeep Singh,,lbw
1759,KL Rahul,M Theekshana,,lbw
1759,Virat Kohli,D Madushanka,,bowled
1759,Rohit Sharma,C Karunaratne,P Nissanka,caught
1759,Suryakumar Yadav,MD Shanaka,M Theekshana,caught
1759,Hardik Pandya,MD Shanaka,P Nissanka,caught
1759,Rishabh Pant,D Madushanka,P Nissanka,caught
1759,P Nissanka,Yuzvendra Chahal,Rohit Sharma,caught
1759,KIC Asalanka,Yuzvendra Chahal,Suryakumar Yadav,caught
1759,MD Gunathilaka,R Ashwin,KL Rahul,caught
1759,BKG Mendis,Yuzvendra Chahal,,lbw
1761,KL Rahul,Fareed Ahmad,Najibullah Zadran,caught
1761,Suryakumar Yadav,Fareed Ahmad,,bowled
1761,Karim Janat,B Kumar,Virat Kohli,caught
1761,Mohammad Nabi,Arshdeep Singh,,lbw
1761,Rashid Khan,DJ Hooda,Axar Patel,caught
1788,Rohit Sharma,JR Hazlewood,NT Ellis,caught
1788,Virat Kohli,NT Ellis,C Green,caught
1788,KL Rahul,JR Hazlewood,NT Ellis,caught
1788,Suryakumar Yadav,C Green,MS Wade,caught
1788,Axar Patel,NT Ellis,C Green,caught
1788,AJ Finch,Axar Patel,,bowled
1788,C Green,Axar Patel,Virat Kohli,caught
1788,JP Inglis,Axar Patel,,bowled
1788,TH David,Yuzvendra Chahal,Hardik Pandya,caught
1794,C Green,Axar Patel,"V Kohli, AR Patel",run out
1794,GJ Maxwell,Axar Patel,,bowled
1794,TH David,Axar Patel,,bowled
1794,AJ Finch,Jasprit Bumrah,,bowled
1794,KL Rahul,A Zampa,,bowled
1794,Virat Kohli,A Zampa,,bowled
1794,Suryakumar Yadav,A Zampa,,lbw
1794,Hardik Pandya,PJ Cummins,AJ Finch,caught
1796,AJ Finch,Axar Patel,Hardik Pandya,caught
1796,C Green,B Kumar,KL Rahul,caught
1796,GJ Maxwell,Yuzvendra Chahal,Axar Patel,run out
