Player ID,Player Name,Match Number,Catches,Run-Out,Stumpings
14691,Dhruv Jurel,2301,1,1,0
14691,Dhruv Jurel,2379,1,0,0
14691,Dhruv Jurel,2380,1,0,0
14691,Dhruv Jurel,2396,1,1,0
14691,Dhruv Jurel,2401,0,0,0
14691,Dhruv Jurel,2428,1,0,1
14691,Dhruv Jurel,2431,1,2,0
14659,Ravi Bishnoi,2301,0,1,0
8733,KL Rahul,1750,0,0,0
8733,KL Rahul,1754,1,0,0
8733,KL Rahul,1758,1,0,0
8733,KL Rahul,1759,1,0,0
8733,KL Rahul,1761,1,0,0
8733,KL Rahul,1788,1,0,0
8733,KL Rahul,1794,0,0,0
8733,KL Rahul,1796,2,0,0
8733,KL Rahul,1803,0,0,0
8733,KL Rahul,1842,0,0,0
8733,KL Rahul,1848,0,0,0
8733,KL Rahul,1853,2,0,0
8733,KL Rahul,1860,1,1,0
8733,KL Rahul,1873,1,0,0
8733,KL Rahul,1878,1,0,0
7909,Mohammed Shami,1853,0,1,0
10808,Mohammed Siraj,1805,1,0,0
10808,Mohammed Siraj,1911,0,1,0
10808,Mohammed Siraj,2396,2,0,0
10808,Mohammed Siraj,2401,0,1,0
10808,Mohammed Siraj,2671,2,1,0
10808,Mohammed Siraj,2769,0,1,0
10754,Mukesh Kumar,2191,1,0,0
10754,Mukesh Kumar,2379,1,0,0
10754,Mukesh Kumar,2737,0,0,0
10754,Mukesh Kumar,2360,0,1,0
12305,Riyan Parag,2737,1,0,0
12305,Riyan Parag,2749,1,0,0
12305,Riyan Parag,2762,1,0,0
12305,Riyan Parag,2767,1,0,0
12305,Riyan Parag,2769,2,0,0
587,Ravindra Jadeja,1631,0,1,0
587,Ravindra Jadeja,1702,1,0,0
587,Ravindra Jadeja,1718,1,0,0
587,Ravindra Jadeja,1750,1,0,0
587,Ravindra Jadeja,1754,0,1,0
587,Ravindra Jadeja,2396,0,1,0
587,Ravindra Jadeja,2401,0,1,0
587,Ravindra Jadeja,2658,1,0,0
587,Ravindra Jadeja,2710,4,0,0
587,Ravindra Jadeja,2729,1,0,0
11813,Ruturaj Gaikwad,1479,1,0,0
11813,Ruturaj Gaikwad,1554,1,0,0
