Match Number,Date,Venue,Team 1,Team 2,Toss Winner,Toss Decision,Outcome (Result),Player of Match
2372,28-11-2023,"Barsapara Cricket Stadium, Guwahati",India,Australia,Australia,field,Australia,Glenn Maxwell
2379,01-12-2023,"Shaheed Veer Narayan Singh International Stadium, Raipur",India,Australia,Australia,field,India,Axar Patel
2380,03-12-2023,"M Chinnaswamy Stadium, Bengaluru",India,Australia,Australia,field,India,Axar Patel
2428,11-01-2024,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Afghanistan,India,India,field,India,Shivam Dube
2431,14-01-2024,"Holkar Cricket Stadium, Indore",Afghanistan,India,India,field,India,Axar Patel
2639,05-06-2024,"Nassau County International Cricket Stadium, New York",Ireland,India,India,field,India,Jasprit Bumrah
2658,09-06-2024,"Nassau County International Cricket Stadium, New York",India,Pakistan,Pakistan,field,India,Jasprit Bumrah
2671,12-06-2024,"Nassau County International Cricket Stadium, New York",United States of America,India,India,field,India,Arshdeep Singh
2710,20-06-2024,"Kensington Oval, Bridgetown, Barbados",India,Afghanistan,India,bat,India,Suryakumar Yadav
2716,22-06-2024,"Sir Vivian Richards Stadium, North Sound, Antigua",India,Bangladesh,Bangladesh,field,India,Hardik Pandya
2721,24-06-2024,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",India,Australia,Australia,field,India,Rohit Sharma
2724,27-06-2024,"Providence Stadium, Guyana",India,England,England,field,India,Axar Patel
2729,29-06-2024,"Kensington Oval, Bridgetown, Barbados",India,South Africa,India,bat,India,Virat Kohli
2737,06-07-2024,Harare Sports Club,Zimbabwe,India,India,field,Zimbabwe,Sikandar Raza
2739,07-07-2024,Harare Sports Club,India,Zimbabwe,India,bat,India,Abhishek Sharma
2749,10-07-2024,Harare Sports Club,India,Zimbabwe,India,bat,India,Washington Sundar
2759,13-07-2024,Harare Sports Club,Zimbabwe,India,India,field,India,Yashasvi Jaiswal
2762,14-07-2024,Harare Sports Club,India,Zimbabwe,Zimbabwe,field,India,Shivam Dube
2767,27-07-2024,Pallekele International Cricket Stadium,India,Sri Lanka,Sri Lanka,field,India,Suryakumar Yadav
2768,28-07-2024,Pallekele International Cricket Stadium,Sri Lanka,India,India,field,India,Ravi Bishnoi
