ID,Player ID,Player name,In Batting Position,Mat,Inns,NNO,Runs,HS,Not out,Avg,BF,SR,100s,50s,0s,4s,6s
12,10744,Rishabh Pant,6th position,3,3,1,28,17,0,14,20,140,0,0,0,5,0
31,12305,Riyan Parag,4th position,1,1,0,2,2,0,2,3,66.66,0,0,0,0,0
31,12305,Riyan Parag,5th position,1,1,0,22,22,0,22,24,91.66,0,0,0,0,1
31,12305,Riyan Parag,6th position,1,1,0,7,7,0,7,6,116.66,0,0,0,1,0
31,12305,Riyan Parag,7th position,1,1,0,26,26,0,26,18,144.44,0,0,0,1,2
2,576,Rohit Sharma,1st position,89,89,6,2722,121,0,32.79,1869,145.63,4,20,6,248,138
2,576,Rohit Sharma,2nd position,35,35,3,1028,121,1,32.12,753,136.52,1,7,4,101,46
2,576,Rohit Sharma,3rd position,3,3,1,127,60,1,63.5,89,142.69,0,2,0,9,6
2,576,Rohit Sharma,4th position,8,8,2,188,79,1,31.33,153,122.87,0,2,1,13,8
2,576,Rohit Sharma,5th position,8,8,2,87,50,1,14.5,77,112.98,0,1,1,9,3
2,576,Rohit Sharma,6th position,5,5,3,72,30,1,36,57,126.31,0,0,0,2,4
2,576,Rohit Sharma,7th position,3,3,2,7,4,1,7,5,140,0,0,0,1,0
6,11813,Ruturaj Gaikwad,1st position,6,6,0,102,57,0,17,82,124.39,0,1,0,12,2
6,11813,Ruturaj Gaikwad,2nd position,11,11,3,398,123,1,49.75,275,144.72,1,2,1,37,18
6,11813,Ruturaj Gaikwad,3rd position,2,2,1,84,77,1,84,56,150,0,1,0,12,1
6,11813,Ruturaj Gaikwad,4th position,1,1,0,49,49,0,49,28,175,0,0,0,4,3
11,8271,Sanju Samson,1st position,2,2,0,95,77,0,47.5,54,175.92,0,1,0,12,4
11,8271,Sanju Samson,2nd position,3,3,0,10,8,0,3.33,11,90.9,0,0,1,0,1
11,8271,Sanju Samson,3rd position,3,3,0,33,27,0,11,26,126.92,0,0,1,2,2
11,8271,Sanju Samson,4th position,11,11,1,213,58,0,21.3,164,129.87,0,1,1,12,10
11,8271,Sanju Samson,5th position,5,5,2,62,30,1,20.66,47,131.91,0,0,1,7,1
11,8271,Sanju Samson,6th position,1,1,0,12,12,0,12,12,100,0,0,0,0,1
11,8271,Sanju Samson,7th position,1,1,0,19,19,0,19,24,79.16,0,0,0,1,0
33,11195,Shivam Dubey,3rd position,2,2,0,57,54,0,28.5,37,154.05,0,1,0,3,4
33,11195,Shivam Dubey,4th position,3,3,2,124,63,1,124,78,158.97,0,2,0,10,6
33,11195,Shivam Dubey,5th position,10,10,4,166,34,0,27.66,137,121.16,0,0,0,9,9
33,11195,Shivam Dubey,6th position,7,7,2,92,27,0,18.4,71,129.57,0,0,0,5,5
33,11195,Shivam Dubey,7th position,2,2,1,9,9,1,9,9,100,0,0,1,0,0
4,9428,Shreyas Iyer,2nd position,1,1,0,64,64,0,64,40,160,0,1,0,8,2
4,9428,Shreyas Iyer,3rd position,19,19,4,530,74,1,35.33,398,133.16,0,4,1,46,19
4,9428,Shreyas Iyer,4th position,10,10,3,263,62,0,37.57,175,150.28,0,2,1,15,17
