Player ID,Player name,Opponent,Innings,Powerplay Total,Powerplay Zeros,Powerplay Ones,Powerplay Fours,Powerplay Sixes,Middle Overs Total,Middle Overs Zeros,Middle Overs Ones,Middle Overs Fours,Middle Overs Sixes,Death Overs Total,Death Overs Zeros,Death Overs Ones,Death Overs Fours,Death Overs Sixes,Total Zeros,Total Ones,Total Fours,Total Sixes
8733,KL Rahul,South Africa,3,48,24,8,5,3,57,14,21,1,5,7,0,1,0,1,38,30,6,9
8733,KL Rahul,Bangladesh,1,22,9,4,1,2,27,2,3,2,2,0,0,0,0,0,11,7,3,4
8733,KL Rahul,Zimbabwe,1,21,2,8,1,1,30,3,8,2,2,0,0,0,0,0,5,16,3,3
8733,KL Rahul,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8733,KL Rahul,Hong Kong,1,16,9,8,0,1,18,6,8,0,1,0,0,0,0,0,15,16,0,2
8733,KL Rahul,Sri Lanka,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
8733,KL Rahul,Afghanistan,1,29,9,5,4,1,29,1,11,2,1,0,0,0,0,0,10,16,6,2
8733,KL Rahul,Australia,3,25,6,7,2,1,30,4,10,2,2,0,0,0,0,0,10,17,4,3
8292,Kuldeep Yadav,New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8292,Kuldeep Yadav,West Indies,2,0,0,0,0,0,0,3,0,0,0,3,4,3,0,0,7,3,0,0
7909,Mohammed Shami,South Africa,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
10808,Mohammed Siraj,South Africa,2,0,0,0,0,0,0,0,0,0,0,7,5,1,1,0,5,1,1,0
10808,Mohammed Siraj,Pakistan,1,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,3,1,0,0
10808,Mohammed Siraj,Sri Lanka,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10754,Mukesh Kumar,West Indies,2,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,1,1,0
10754,Mukesh Kumar,Zimbabwe,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0
14659,Ravi  Bishnoi,England,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
14659,Ravi  Bishnoi,Pakistan,1,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,2,0
14659,Ravi  Bishnoi,West Indies,1,0,0,0,0,0,0,0,0,0,0,8,1,2,0,1,1,2,0,1
14659,Ravi  Bishnoi,Australia,3,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,2,4,0,0
14659,Ravi  Bishnoi,Zimbabwe,1,0,0,0,0,0,9,5,1,2,0,0,0,0,0,0,5,1,2,0
14659,Ravi  Bishnoi,Sri Lanka,1,0,0,0,0,0,0,1,0,0,0,8,3,4,1,0,4,4,1,0
587,Ravindra Jadeja,England,3,0,0,0,0,0,20,3,8,2,0,50,6,10,5,1,9,18,7,1
587,Ravindra Jadeja,Sri Lanka,3,0,0,0,0,0,55,7,13,8,1,15,2,7,2,0,9,20,10,1
587,Ravindra Jadeja,West Indies,2,1,1,1,0,0,41,11,25,2,1,1,1,1,0,0,13,27,2,1
587,Ravindra Jadeja,Pakistan,2,0,0,0,0,0,22,8,12,1,1,13,9,1,1,1,17,13,2,2
587,Ravindra Jadeja,South Africa,3,0,0,0,0,0,6,0,2,1,0,19,7,5,1,1,7,7,2,1
587,Ravindra Jadeja,Afghanistan,1,0,0,0,0,0,0,0,0,0,0,7,2,1,1,0,2,1,1,0
587,Ravindra Jadeja,Australia,1,0,0,0,0,0,0,0,0,0,0,9,1,3,0,1,1,3,0,1
10896,Rinku Singh,Ireland,1,0,0,0,0,0,11,3,7,1,0,27,3,5,1,3,6,12,2,3
10896,Rinku Singh,South Africa,2,5,0,1,1,0,47,8,15,8,0,30,3,8,0,3,11,24,9,3
10896,Rinku Singh,Australia,4,0,1,0,0,0,45,11,17,4,2,60,7,8,9,2,19,25,13,4
10896,Rinku Singh,Afghanistan,3,2,3,0,0,0,57,12,23,4,2,35,0,7,1,4,15,30,5,6
10896,Rinku Singh,Nepal,1,0,0,0,0,0,0,0,0,0,0,37,5,3,2,4,5,3,2,4
10896,Rinku Singh,Zimbabwe,4,0,2,0,0,0,10,3,4,0,1,50,10,6,2,5,15,10,2,6
10896,Rinku Singh,Sri Lanka,2,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,3,2,0,0
10744,Rishabh Pant,England,4,29,12,7,4,1,0,0,0,0,0,6,1,2,1,0,13,9,5,1
10744,Rishabh Pant,West Indies,6,31,10,5,2,2,111,26,31,14,1,33,4,11,3,1,40,47,19,4
10744,Rishabh Pant,South Africa,6,28,9,4,3,2,35,16,23,3,0,20,5,2,1,2,30,29,7,4
10744,Rishabh Pant,Zimbabwe,1,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,3,0,0
10744,Rishabh Pant,New Zealand,2,13,14,2,2,0,0,0,0,0,0,0,0,0,0,0,14,2,2,0
10744,Rishabh Pant,Pakistan,2,16,8,2,2,0,40,13,14,6,0,0,0,0,0,0,21,16,8,0
10744,Rishabh Pant,Sri Lanka,3,4,0,4,0,0,43,14,11,5,1,21,5,3,4,0,19,18,9,1
10744,Rishabh Pant,Afghanistan,2,20,6,1,4,0,8,5,4,1,0,12,1,4,2,0,12,9,7,0
10744,Rishabh Pant,Ireland,1,10,7,4,1,0,26,7,4,2,2,0,0,0,0,0,14,8,3,2
10744,Rishabh Pant,United States of America,1,15,7,5,1,1,2,1,0,0,0,0,0,0,0,0,8,5,1,1
10744,Rishabh Pant,Bangladesh,1,4,5,2,0,0,32,7,4,4,2,0,0,0,0,0,12,6,4,2
10744,Rishabh Pant,Australia,1,15,6,5,1,1,0,1,0,0,0,0,0,0,0,0,7,5,1,1
12305,Riyan Parag,Zimbabwe,2,6,2,6,0,0,18,8,10,0,1,0,0,0,0,0,10,16,0,1
12305,Riyan Parag,Sri Lanka,2,0,0,0,0,0,26,6,10,1,2,7,2,3,1,0,8,13,2,2
576,Rohit Sharma,England,5,102,35,16,17,1,28,8,12,1,2,0,0,0,0,0,43,28,18,3
576,Rohit Sharma,West Indies,7,108,28,18,9,9,54,17,18,6,1,0,0,0,0,0,45,36,15,10
576,Rohit Sharma,Sri Lanka,4,47,12,19,4,1,64,4,17,3,4,0,0,0,0,0,16,36,7,5
576,Rohit Sharma,Pakistan,4,28,20,10,3,1,7,2,1,0,1,0,0,0,0,0,22,11,3,2
576,Rohit Sharma,Netherlands,1,20,11,4,1,1,33,6,9,3,2,0,0,0,0,0,17,13,4,3
576,Rohit Sharma,South Africa,5,54,28,6,8,2,12,4,4,2,0,0,0,0,0,0,32,10,10,2
576,Rohit Sharma,Bangladesh,2,18,7,4,2,1,0,0,0,0,0,0,0,0,0,0,7,4,2,1
576,Rohit Sharma,Zimbabwe,1,15,7,3,2,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0
576,Rohit Sharma,Hong Kong,1,19,4,3,2,1,0,0,0,0,0,0,0,0,0,0,4,3,2,1
576,Rohit Sharma,Australia,4,112,28,12,10,10,33,5,7,3,2,0,0,0,0,0,33,19,13,12
576,Rohit Sharma,Afghanistan,4,20,16,8,3,0,52,8,14,3,4,52,1,6,5,4,25,28,11,8
576,Rohit Sharma,Ireland,1,22,11,6,2,1,24,4,2,1,2,0,0,0,0,0,15,8,3,3
576,Rohit Sharma,United States of America,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
11813,Ruturaj Gaikwad,West Indies,1,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
11813,Ruturaj Gaikwad,South Africa,4,65,20,9,6,5,15,2,5,2,0,0,0,0,0,0,22,14,8,5
11813,Ruturaj Gaikwad,Ireland,2,43,10,19,4,1,33,5,15,3,1,0,0,0,0,0,15,34,7,2
11813,Ruturaj Gaikwad,Australia,4,36,25,14,5,0,107,12,37,10,3,67,5,7,3,7,42,58,18,10
11813,Ruturaj Gaikwad,Nepal,1,13,6,5,2,0,11,2,1,2,0,0,0,0,0,0,8,6,4,0
11813,Ruturaj Gaikwad,Bangladesh,1,28,12,2,2,3,8,2,4,1,0,0,0,0,0,0,14,6,3,3
11813,Ruturaj Gaikwad,Zimbabwe,3,18,14,8,2,0,64,8,20,8,1,51,3,7,6,3,25,35,16,4
8271,Sanju Samson,Sri Lanka,5,24,18,8,3,0,37,7,7,2,3,0,0,0,0,0,25,15,5,3
8271,Sanju Samson,Ireland,3,31,12,11,5,0,75,6,19,8,4,6,1,0,0,1,19,30,13,5
8271,Sanju Samson,West Indies,5,0,0,0,0,0,66,15,28,6,2,11,2,7,1,0,17,35,7,2
8271,Sanju Samson,Afghanistan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8271,Sanju Samson,Zimbabwe,2,5,4,3,0,0,43,12,13,0,4,22,6,4,3,0,22,20,3,4
11195,Shivam Dubey,Ireland,2,0,0,0,0,0,2,3,2,0,0,20,5,8,0,2,8,10,0,2
